,state,county,congressional district,county_fips,state_name,state_code,Year_id,Year_display-label,GEO_display-label,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Two or More Races,Persons of Color,Total Population,Percentage Persons of Color,Majority-Minority County,Female,Male,DI_2000,DI_2015,DI_ratio,Percent Asian,Percent Black or African American,Percent White,Percent American Indian and Alaska Native,Percent Native Hawaiian and Other Pacific Islander,Percent Hispanic,Percent Two or More Races,perc_clinton,votes_clinton,perc_all_other,votes_all_other,perc_precincts,perc_trump,votes_trump,Majority,percent_majority,percent_majority_f,perc_clinton_f,perc_trump_f,perc_all_other_f,perc_precincts_f,DI_2015_f,DI_ratio_f,County Name,Total Population_f,county_pop_txt,results_txt
0,01,001,02,01001,Alabama,AL,est72015,"July 1, 2015","Autauga County, Alabama",41459.0,10493.0,228.0,653.0,36.0,1486.0,992.0,13888.0,55347.0,0.250925976114,majority,28490.0,26857.0,0.332035498296,0.399301558559,1.20258695413,0.0117982907836,0.189585704736,0.749074023886,0.00411946446962,0.000650441758361,0.026848790359,0.0179232840082,23.96,5908.0,2.6,643.0,100.0,73.44,18110.0,White (1%),0.749074023886,(1%),24%,73%,3%,100%,0.40,1.20X,"Autauga County, Alabama","55,347","<strong>Total Population:</strong> 55,347<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.40<br>                                                <strong>Change in Diversity: </strong> 1.20X<br>",<strong>Percent Clinton:</strong> 24%<br>                                                      <strong>Percent Trump:</strong> 73%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>
1,01,003,01,01003,Alabama,AL,est72015,"July 1, 2015","Baldwin County, Alabama",168996.0,19088.0,1339.0,1885.0,95.0,8925.0,3381.0,34713.0,203709.0,0.170404842201,majority,104423.0,99286.0,0.244901290692,0.298260615104,1.21788094404,0.00925339577535,0.0937022910132,0.829595157799,0.00657310182663,0.000466351511224,0.0438124972387,0.0165972048363,19.48,17463.0,3.07,2750.0,100.0,77.45,69431.0,White (1%),0.829595157799,(1%),19%,77%,3%,100%,0.30,1.22X,"Baldwin County, Alabama","203,709","<strong>Total Population:</strong> 203,709<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.30<br>                                                <strong>Change in Diversity: </strong> 1.22X<br>",<strong>Percent Clinton:</strong> 19%<br>                                                      <strong>Percent Trump:</strong> 77%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>
2,01,005,02,01005,Alabama,AL,est72015,"July 1, 2015","Barbour County, Alabama",12340.0,12529.0,63.0,118.0,24.0,1159.0,256.0,14149.0,26489.0,0.534146249387,minority,12341.0,14148.0,0.524883066983,0.553527507523,1.05457299414,0.00445467930084,0.472988787799,0.465853750613,0.00237834572842,0.000906036467968,0.0437540110989,0.00966438899166,46.66,4848.0,1.07,111.0,100.0,52.27,5431.0,Black or African American (0%),0.472988787799,(0%),47%,52%,1%,100%,0.55,1.05X,"Barbour County, Alabama","26,489","<strong>Total Population:</strong> 26,489<br>                                                <strong>Majority:</strong> Black or African American (0%)<br>                                                <strong>Diversity Index:</strong> 0.55<br>                                                <strong>Change in Diversity: </strong> 1.05X<br>",<strong>Percent Clinton:</strong> 47%<br>                                                      <strong>Percent Trump:</strong> 52%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>
3,01,007,06,01007,Alabama,AL,est72015,"July 1, 2015","Bibb County, Alabama",16724.0,4980.0,89.0,52.0,10.0,520.0,208.0,5859.0,22583.0,0.259442943807,majority,10413.0,12170.0,0.347372831181,0.400449710721,1.1527951376,0.0023026170128,0.220519860072,0.740557056193,0.0039410175796,0.000442810963999,0.023026170128,0.00921046805119,21.42,1874.0,1.61,141.0,100.0,76.97,6733.0,White (1%),0.740557056193,(1%),21%,77%,2%,100%,0.40,1.15X,"Bibb County, Alabama","22,583","<strong>Total Population:</strong> 22,583<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.40<br>                                                <strong>Change in Diversity: </strong> 1.15X<br>",<strong>Percent Clinton:</strong> 21%<br>                                                      <strong>Percent Trump:</strong> 77%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>
4,01,009,"04, 06",01009,Alabama,AL,est72015,"July 1, 2015","Blount County, Alabama",50403.0,987.0,288.0,159.0,19.0,5067.0,750.0,7270.0,57673.0,0.126055519914,majority,29178.0,28495.0,0.147046406735,0.226069736024,1.53740401444,0.00275692265011,0.0171137273941,0.873944480086,0.0049936712153,0.00032944358712,0.0878574029442,0.0130043521232,8.47,2150.0,1.68,426.0,100.0,89.85,22808.0,White (1%),0.873944480086,(1%),8%,90%,2%,100%,0.23,1.54X,"Blount County, Alabama","57,673","<strong>Total Population:</strong> 57,673<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.23<br>                                                <strong>Change in Diversity: </strong> 1.54X<br>",<strong>Percent Clinton:</strong> 8%<br>                                                      <strong>Percent Trump:</strong> 90%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>
5,01,011,02,01011,Alabama,AL,est72015,"July 1, 2015","Bullock County, Alabama",2386.0,7373.0,28.0,25.0,4.0,763.0,117.0,8310.0,10696.0,0.776925953628,minority,4839.0,5857.0,0.406803299716,0.453969631457,1.11594382782,0.0023373223635,0.689323111444,0.223074046372,0.00261780104712,0.00037397157816,0.071335078534,0.0109386686612,75.09,3530.0,0.68,32.0,100.0,24.23,1139.0,Black or African American (1%),0.689323111444,(1%),75%,24%,1%,100%,0.45,1.12X,"Bullock County, Alabama","10,696","<strong>Total Population:</strong> 10,696<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.45<br>                                                <strong>Change in Diversity: </strong> 1.12X<br>",<strong>Percent Clinton:</strong> 75%<br>                                                      <strong>Percent Trump:</strong> 24%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>
6,01,013,02,01013,Alabama,AL,est72015,"July 1, 2015","Butler County, Alabama",10639.0,8863.0,67.0,193.0,9.0,227.0,156.0,9515.0,20154.0,0.472114716682,majority,10783.0,9371.0,0.495699061811,0.52462649514,1.05835684503,0.00957626277662,0.439763818597,0.527885283318,0.0033244021038,0.00044656147663,0.0112632727994,0.00774039892825,42.79,3716.0,0.89,78.0,100.0,56.32,4891.0,White (1%),0.527885283318,(1%),43%,56%,1%,100%,0.52,1.06X,"Butler County, Alabama","20,154","<strong>Total Population:</strong> 20,154<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.52<br>                                                <strong>Change in Diversity: </strong> 1.06X<br>",<strong>Percent Clinton:</strong> 43%<br>                                                      <strong>Percent Trump:</strong> 56%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>
7,01,015,03,01015,Alabama,AL,est72015,"July 1, 2015","Calhoun County, Alabama",83958.0,24126.0,475.0,968.0,93.0,3980.0,2020.0,31662.0,115620.0,0.273845355475,majority,59865.0,55755.0,0.356053946007,0.424643645335,1.19263850351,0.00837225393531,0.208666320706,0.726154644525,0.00410828576371,0.000804359107421,0.0344231101885,0.0174710257741,27.86,13197.0,2.9,1376.0,100.0,69.24,32803.0,White (1%),0.726154644525,(1%),28%,69%,3%,100%,0.42,1.19X,"Calhoun County, Alabama","115,620","<strong>Total Population:</strong> 115,620<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.42<br>                                                <strong>Change in Diversity: </strong> 1.19X<br>",<strong>Percent Clinton:</strong> 28%<br>                                                      <strong>Percent Trump:</strong> 69%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>
8,01,017,03,01017,Alabama,AL,est72015,"July 1, 2015","Chambers County, Alabama",19239.0,13456.0,72.0,314.0,11.0,656.0,375.0,14884.0,34123.0,0.436186736219,majority,17783.0,16340.0,0.488696078814,0.522707677689,1.06959662733,0.00920200451309,0.394338129707,0.563813263781,0.0021100137737,0.000322363215427,0.0192245699382,0.0109896550714,41.83,5763.0,1.54,212.0,100.0,56.63,7803.0,White (1%),0.563813263781,(1%),42%,57%,2%,100%,0.52,1.07X,"Chambers County, Alabama","34,123","<strong>Total Population:</strong> 34,123<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.52<br>                                                <strong>Change in Diversity: </strong> 1.07X<br>",<strong>Percent Clinton:</strong> 42%<br>                                                      <strong>Percent Trump:</strong> 57%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>
9,01,019,"03, 04",01019,Alabama,AL,est72015,"July 1, 2015","Cherokee County, Alabama",23613.0,1217.0,135.0,61.0,1.0,385.0,447.0,2246.0,25859.0,0.0868556402026,majority,13020.0,12839.0,0.140548177192,0.162587318529,1.15680844659,0.002358946595,0.047062918133,0.913144359797,0.00522061951352,3.86712556557e-05,0.0148884334274,0.0172860512781,14.51,1524.0,1.62,170.0,100.0,83.87,8809.0,White (1%),0.913144359797,(1%),15%,84%,2%,100%,0.16,1.16X,"Cherokee County, Alabama","25,859","<strong>Total Population:</strong> 25,859<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.16<br>                                                <strong>Change in Diversity: </strong> 1.16X<br>",<strong>Percent Clinton:</strong> 15%<br>                                                      <strong>Percent Trump:</strong> 84%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>
